authorID,name,location,reviewCount,friendCount,photoCount
yTMU4Fj-CA4Q0cIOctTAXw,Priscilla P.,Los Angeles CA,728,127,1
opgE1ER5JV5dJLH1et2A1A,Charlie "SKIM" K.,Chicago IL,233,32,92
