frontier-chicago-2,Frontier,"1072 N Milwaukee Ave, Chicago, IL 60642",754,3.5,newamerican,+17737724322,https://www.yelp.com/biz/frontier-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
ameer-kabob-chicago,Ameer Kabob,"1050 N Milwaukee Ave, Chicago, IL 60642",204,4.0,mediterranean,+17734898888,https://www.yelp.com/biz/ameer-kabob-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
oggi-trattoria-chicago-2,Oggi Trattoria,"1118 W Grand Ave, Chicago, IL 60642",77,4.5,italian,+13127330442,https://www.yelp.com/biz/oggi-trattoria-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
eden-chicago-4,Eden,"1748 W Lake St, Chicago, IL 60612",140,4.5,newamerican,+13123662294,https://www.yelp.com/biz/eden-chicago-4?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
mod-mex-and-mod-mix-with-rick-bayless-chicago-2,Mod Mex & Mod Mix With Rick Bayless,"1059 N Halsted St, Chicago, IL 60642",1,5.0,cookingclasses,,https://www.yelp.com/biz/mod-mex-and-mod-mix-with-rick-bayless-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
sono-wood-fired-chicago-2,Sono Wood Fired,"1582 N Clybourn Ave, Chicago, IL 60642",228,4.0,italian,+13122551122,https://www.yelp.com/biz/sono-wood-fired-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
bar-biscay-chicago,Bar Biscay,"1450 W Chicago Ave, Chicago, IL 60642",7,4.5,spanish,+13124558900,https://www.yelp.com/biz/bar-biscay-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
roti-modern-mediterranean-chicago-12,Roti Modern Mediterranean,"1000 W North Ave, Chicago, IL 60642",7,4.5,mediterranean,+13122355027,https://www.yelp.com/biz/roti-modern-mediterranean-chicago-12?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
jerk-modern-jamaican-grill-chicago,Jerk Modern Jamaican Grill,"811 W Chicago Ave, Chicago, IL 60642",300,3.5,bbq,+13127632870,https://www.yelp.com/biz/jerk-modern-jamaican-grill-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
pokē-bowl-co-chicago-2,Pokē Bowl Co,"1550 N Kingsbury, Chicago, IL 60642",19,4.0,poke,+13122026234,https://www.yelp.com/biz/pok%C4%93-bowl-co-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
