GroupID,DataSource,SourceID,Address,Name,Case#,DateTime,CrimeType,Arrest
1,Crime,10594020,009XX S MICHIGAN AVE,,HZ345473,2016-07-12T00:45:00.000,ROBBERY,False
1,Crime,10658786,009XX S MICHIGAN AVE,,HZ407635,2016-07-30T23:15:00.000,THEFT,False
1,Crime,10660932,009XX S MICHIGAN AVE,,HZ411348,2016-08-29T01:00:00.000,ROBBERY,False
1,Crime,10743877,009XX S MICHIGAN AVE,,HZ504351,2016-11-05T23:20:00.000,ROBBERY,False
1,Crime,10849508,009XX S MICHIGAN AVE,,JA153704,2017-02-14T15:45:00.000,OTHER OFFENSE,False
1,Crime,10873330,009XX S MICHIGAN AVE,,JA177052,2017-03-02T07:49:00.000,OTHER OFFENSE,False
1,Crime,10894104,009XX S MICHIGAN AVE,,JA204382,2017-03-29T03:10:00.000,ROBBERY,False
1,Crime,10937599,009XX S MICHIGAN AVE,,JA253799,2017-05-07T02:35:00.000,DECEPTIVE PRACTICE,False
1,Crime,10961842,009XX S MICHIGAN AVE,,JA284312,2017-05-29T21:55:00.000,ROBBERY,True
1,Crime,10976756,009XX S MICHIGAN AVE,,JA301492,2017-06-10T22:47:00.000,ROBBERY,False
1,Crime,11044527,009XX S MICHIGAN AVE,,JA379638,2017-08-06T12:00:00.000,THEFT,False
1,Crime,11061645,009XX S MICHIGAN AVE,,JA399728,2017-08-20T22:30:00.000,THEFT,False
1,Crime,11085910,009XX S MICHIGAN AVE,,JA429232,2017-09-12T16:00:00.000,THEFT,False
1,Crime,11186092,009XX S MICHIGAN AVE,,JA560620,2017-12-23T11:00:00.000,CRIM SEXUAL ASSAULT,False
1,Crime,11189400,009XX S MICHIGAN AVE,,JA565289,2017-12-21T19:45:00.000,THEFT,False
1,Crime,11189894,009XX S MICHIGAN AVE,,JA565821,2017-12-26T00:00:00.000,DECEPTIVE PRACTICE,False
1,Crime,2575013,009XX S MICHIGAN AVE,,HJ165383,2003-02-03T09:00:00.000,THEFT,False
1,Crime,11204441,009XX S MICHIGAN AVE,,JB116630,2018-01-14T19:00:00.000,THEFT,False
1,Crime,2203322,009XX S MICHIGAN AVE,,HH436475,2002-06-12T12:30:00.000,NARCOTICS,True
1,Crime,2638047,009XX S MICHIGAN AVE,,HJ243270,2003-03-10T00:00:00.000,DECEPTIVE PRACTICE,False
